word,translation,example,level
die Milch,молоко,Ich trinke meinen Kaffee immer mit Milch.,A1
vorbereiten,подготавливать,Wir müssen das Essen für die Party vorbereiten.,A2
der Kredit,кредит,"Er hat einen Kredit aufgenommen, um sich ein neues Auto zu kaufen.",B1
sitzen,сидеть,Ich sitze gerne auf dem Sofa und lese ein Buch.,A1
häufig,часто,Diese Art von Fehler tritt häufig auf.,A2
begrenzt,ограниченный,Unser Budget ist leider sehr begrenzt.,B1
das Faschierte,фарш,"Für die Bolognese-Sauce benötigen wir Hackfleisch, also das Faschierte.",B1
die Ahnung,"представление, понятие","Ich habe keine Ahnung, wie ich diese Aufgabe lösen soll.",A2
der Zahn,зуб,"Nach dem Essen sollte man sich die Zähne putzen, um Karies vorzubeugen.",A1
die Heizung,отопление,"Die Heizung funktioniert nicht richtig, es ist sehr kalt in der Wohnung.",A2
wenn,если,"Wenn du Zeit hast, komm vorbei.",A2
das Camp,лагерь,Im Sommer fahren wir mit der Familie in ein Zeltlager am See.,B1
allerdings,"однако, тем не менее","Das Restaurant ist sehr beliebt, allerdings muss man lange auf einen Tisch warten.",B1
die Gebrauchsanweisung,инструкция по эксплуатации,"Bevor Sie das Gerät benutzen, lesen Sie bitte die Gebrauchsanweisung sorgfältig durch.",A2
das Gegenteil,противоположность,Das Gegenteil von kalt ist warm.,A2
die Bekannte,знакомая (женщина),Ich treffe mich heute Abend mit einer alten Bekannten aus meiner Schulzeit.,A2
die Frucht,"фрукт, плод",Diese Frucht ist sehr süß und saftig.,A2
passiv,пассивный,Er nimmt oft eine passive Rolle in Diskussionen ein.,B1
sauber,чистый,"Nachdem wir das Haus geputzt haben, ist alles wieder sauber und ordentlich.",A1
schriftlich,письменный,Bitte reichen Sie Ihren Antrag schriftlich ein.,A2
beachten,"соблюдать, обращать внимание",Man muss die Verkehrsregeln beachten.,A2
die Fahrkarte,билет (на транспорт),"Ich habe vergessen, meine Fahrkarte zu kaufen und muss jetzt mit einer Strafe rechnen.",A1
außerhalb,"вне, снаружи",Außerhalb der Stadt gibt es viele schöne Wälder.,B1
der Kontakt,контакт,"Es ist wichtig, den Kontakt zu alten Freunden aufrechtzuerhalten, auch wenn man sich selten sieht.",A2
ankündigen,"объявлять, анонсировать",Die Firma wird bald neue Produkte ankündigen.,B1
festhalten,"держать крепко, придерживаться","Sie hielt die Tasche fest, um sie nicht zu verlieren.",B1
setzen,"сажать, ставить",Bitte setze dich neben mich.,A2
die Fotografie,фотография,"Die Fotografie ist eine Kunstform, die Emotionen ausdrücken kann.",B1
der Ersatz,"замена, запасная часть",Wir brauchen einen Ersatz für das kaputte Teil.,B1
die Datei,файл,Ich kann diese Datei nicht öffnen.,A2
leihen,"одалживать, брать в долг",Kannst du mir bitte dein Buch leihen?,A2
der Park,парк,Am Wochenende gehen wir oft im Park spazieren.,A1
das Brot,хлеб,Wir haben frisches Brot vom Bäcker gekauft.,A1
der Hof,"двор, ферма",Die Kinder spielten ausgelassen auf dem Bauernhof.,A2
aber,но,"Ich wollte ins Kino gehen, aber es war schon zu spät.",A1
das Abenteuer,приключение,Eine Reise in ein unbekanntes Land ist immer ein großes Abenteuer.,A2
ernähren,"кормить, питать","Es ist wichtig, sich ausgewogen zu ernähren.",B1
das Paket,посылка,Das Paket mit den neuen Büchern ist endlich angekommen.,A2
klopfen,стучать,Jemand klopft an die Tür.,A2
typisch,типичный,Das ist ein typisch deutsches Gericht.,A2
das Glas,"стакан, стекло",Bitte gib mir ein Glas Wasser.,A1
eindeutig,однозначный,Die Beweise waren eindeutig und führten zu einer schnellen Verurteilung.,B1
hören,слушать,"Es ist wichtig, gut zuzuhören, wenn jemand spricht.",A1
inner,внутренний,"Er spürte einen tiefen inneren Frieden, als er am Meer saß.",B1
die Erhöhung,"повышение, увеличение",Die Erhöhung der Gehälter wurde von den Mitarbeitern begrüßt.,B1
die Miete,арендная плата,Die Miete für die Wohnung ist ziemlich hoch.,A2
das Ticket,билет,Ich muss noch ein Ticket für den Zug nach Berlin kaufen.,A1
der Pass,паспорт,Ohne gültigen Pass darf man nicht ins Ausland reisen.,A2
manchmal,иногда,"Manchmal frage ich mich, ob das alles einen Sinn hat.",A2
beliebt,популярный,Dieses Restaurant ist bei Einheimischen sehr beliebt.,A2
speichern,сохранять,"Vergiss nicht, deine Arbeit zu speichern, bevor du den Computer ausschaltest.",B1
der Bereich,"область, сфера, диапазон",In diesem Bereich der Wissenschaft gibt es noch viel zu erforschen.,A2
fähig,"способный, умелый","Er ist zu allem fähig, wenn er motiviert ist.",B1
der Gewinn,прибыль,Das Unternehmen erzielte im letzten Quartal einen erheblichen Gewinn.,B1
die Feuerwehr,пожарная служба,Die Feuerwehr war schnell am Brandort.,A2
das Programm,программа,Das Abendprogramm im Theater beinhaltet eine Oper und ein Ballett.,A2
die Bankleitzahl,банковский идентификационный код,"Bitte geben Sie Ihre Bankleitzahl und Kontonummer an, damit die Überweisung erfolgen kann.",B2
sehr,очень,Das Wetter ist heute sehr schön.,A1
die Partnerin,партнёрша,"Er freut sich darauf, seine Partnerin bald wiederzusehen.",A1
einfügen,вставлять,Sie können den Text ganz einfach in das Dokument einfügen.,B1
der Rucksack,рюкзак,Er packte seinen Rucksack für die Wanderung.,A1
das E-book,электронная книга,Ich lese gerne ein E-Book auf meinem Tablet.,A2
landen,приземляться,Das Flugzeug wird voraussichtlich in einer Stunde landen.,A2
ärgern,"сердиться, раздражать","Lass dich nicht von solchen Kleinigkeiten ärgern, das ist es nicht wert.",A2
wissen,знать,"Ich weiß nicht, was ich als Nächstes tun soll.",A1
die Lösung,решение,Wir suchen nach einer schnellen Lösung für das Problem.,A2
zumachen,закрывать,"Können Sie bitte das Fenster zumachen, es zieht.",A1
das Tennis,теннис,"Er spielt zweimal pro Woche Tennis, um fit zu bleiben.",A1
die Gewerkschaft,профсоюз,Die Gewerkschaft fordert höhere Löhne für ihre Mitglieder.,B1
vermieten,сдавать в аренду,"Sie möchten ihre Wohnung untervermieten, weil sie für ein Jahr im Ausland sein werden.",A2
die Laune,настроение,"Heute hat er schlechte Laune, also lass ihn lieber in Ruhe.",A2
schön,"красивый, прекрасный",Das ist ein wirklich schönes Kleid.,A1
die Reise,путешествие,Die Reise nach Südamerika war ein unvergessliches Erlebnis voller neuer Eindrücke.,A1
bewusst,"сознательный, осознанный","Es ist wichtig, sich seiner Handlungen bewusst zu sein.",B1
schon,уже,Ich bin schon fertig mit meiner Arbeit.,A1
die Wurst,колбаса,Zum Frühstück essen wir gerne Brot mit Wurst und Käse.,A1
die Persönlichkeit,личность,Er hat eine starke Persönlichkeit und lässt sich nicht leicht beeinflussen.,B1
verboten,запрещено,Das Rauchen in öffentlichen Gebäuden ist streng verboten.,A2
offen,открытый,"Die Tür zum Garten steht immer offen, wenn das Wetter schön ist.",A2
das Billett,билет,Hast du schon ein Billett für das Konzert gekauft?,A1
losfahren,"отправляться, уезжать","Wir müssen morgen früh losfahren, um pünktlich anzukommen.",A2
ähnlich,"похожий, сходный","Die beiden Bücher sind sich inhaltlich sehr ähnlich, obwohl sie von verschiedenen Autoren geschrieben wurden.",A2
die Gewohnheit,привычка,"Es ist eine gute Gewohnheit, jeden Morgen Sport zu treiben.",B1
ausländisch,иностранный,Er spricht fließend mehrere ausländische Sprachen.,A2
dick,толстый,Der dicke Mann trug einen roten Mantel.,A1
die Couch,диван,Nach einem langen Tag lege ich mich gerne auf die Couch und entspanne mich.,A1
das Freien,на свежем воздухе,"Wir verbrachten den ganzen Tag im Freien, um die Sonne zu genießen.",A2
der Gast,гость,Der Gast wurde herzlich empfangen und zu seinem Tisch geführt.,A1
der Postbote,почтальон,Der Postbote hat heute Morgen die Briefe und Pakete zugestellt.,B1
einstellen,"нанимать, настраивать",Das Unternehmen muss neue Mitarbeiter einstellen.,B1
ergänzen,дополнять,Bitte ergänzen Sie die fehlenden Informationen in diesem Formular.,A2
die Annonce,объявление (часто в газете),"Sie hat eine Annonce aufgegeben, um ihr altes Fahrrad zu verkaufen.",B1
die Sehenswürdigkeit,достопримечательность,Der Eiffelturm ist eine der berühmtesten Sehenswürdigkeiten von Paris.,A2
leider,к сожалению,Leider kann ich heute Abend nicht kommen.,A2
der Feiertag,праздник,Der erste Mai ist in Deutschland ein gesetzlicher Feiertag.,A2
wählen,выбирать,"Wir müssen uns entscheiden, welchen Weg wir einschlagen wollen.",A2
der Fasching,карнавал,Der Fasching ist eine bunte und fröhliche Zeit voller Verkleidungen und Umzüge.,A2
die Entfernung,расстояние,Die Entfernung zwischen den beiden Städten beträgt etwa 100 Kilometer.,B1
der Durst,жажда,Nach der langen Wanderung hatte ich großen Durst.,A1
unterwegs,в пути,Ich bin gerade unterwegs und melde mich später.,A2
hallo,привет,"Hallo, wie geht es dir heute?",A1
die Phantasie,фантазия,Kinder haben oft eine sehr lebhafte Phantasie und erfinden eigene Welten.,B1
konsumieren,потреблять,In der heutigen Gesellschaft konsumieren wir viele digitale Medien.,B2
bitter,горький,Der Kaffee war zu stark und schmeckte sehr bitter.,A2
erholen,"отдыхать, восстанавливаться",Nach der stressigen Arbeitswoche möchte ich mich am Wochenende gut erholen.,A2
arbeiten,работать,Ich arbeite jeden Tag von neun bis fünf Uhr.,A1
die Konfitüre,джем,Zum Frühstück esse ich gerne Brot mit Butter und süßer Erdbeerkonfitüre.,A2
eventuell,"возможно, в крайнем случае",Eventuell können wir das Treffen auf nächste Woche verschieben.,B1
die Ernährung,питание,Eine ausgewogene Ernährung ist wichtig für die Gesundheit.,B1
nebenan,по соседству,Unsere Nachbarn wohnen direkt nebenan.,A2
das Grundstück,участок (земли),Sie haben ein großes Grundstück mit einem schönen Garten gekauft.,B1
das Heimweh,тоска по дому,"Nach einigen Wochen im Ausland begann sie, Heimweh zu bekommen.",B1
der Durchschnitt,"среднее значение, среднее",Der Durchschnittslohn in dieser Branche ist relativ hoch.,B1
das Fett,жир,Zu viel Fett in der Ernährung kann ungesund sein.,A2
malen,рисовать,Die Kinder malen gerne bunte Bilder mit Wasserfarben.,A1
der Biergarten,пивной сад,Im Sommer treffen wir uns gerne im Biergarten mit Freunden.,A2
die Tür,дверь,"Bitte schließen Sie die Tür hinter sich, wenn Sie das Zimmer verlassen.",A1
die Garage,гараж,"Er parkt sein Auto immer in der Garage, um es vor dem Wetter zu schützen.",A1
notwendig,необходимый,"Es ist notwendig, dass wir die Regeln befolgen.",B1
das Stück,кусок,Kann ich bitte ein Stück Kuchen haben?,A1
wichtig,важный,"Es ist wichtig, dass wir pünktlich sind.",A1
irgend,"какой-то, какой-нибудь",Ich habe irgendwelche Fragen.,B1
die Musik,музыка,"Ich höre gerne entspannende Musik, um nach einem langen Tag abzuschalten.",A1
das Geschehen,событие,Das Geschehen auf der Bühne war sehr dramatisch.,B2
interpretieren,"интерпретировать, толковать","Es ist wichtig, die Ergebnisse korrekt zu interpretieren.",B2
anfangen,начинать,"Wir müssen bald mit dem Projekt anfangen, sonst wird es zu spät.",A2
langsam,"медленный, медленно","Der Verkehr war heute Morgen sehr langsam, deshalb kam ich zu spät.",A1
die Münze,монета,Er fand eine alte Münze auf dem Bürgersteig und steckte sie in seine Tasche.,A2
elegant,элегантный,"Die elegante Frau trug ein stilvolles Kleid, das ihre Persönlichkeit unterstrich.",B1
drinnen,внутри,"Es regnet, wir sollten besser drinnen bleiben.",A2
der Essig,уксус,Für das Salatdressing benötige ich Olivenöl und Essig.,A2
klingen,звучать,Diese Musik klingt sehr beruhigend.,A2
aktiv,активный,Er ist sehr aktiv in seinem Sportverein.,A2
die Hochzeit,свадьба,Wir freuen uns schon auf die Hochzeit unserer Freunde.,A2
erfahren,"опытный, узнавать","Er ist ein sehr erfahrener Arzt und weiß genau, was zu tun ist. / Ich habe erfahren, dass die Reise verschoben wurde.",B1
ordnen,"упорядочивать, раскладывать",Bitte ordnen Sie die Dokumente nach Datum.,A2
welche,какой,Welche Farbe gefällt dir am besten?,A1
ausgebildet,"обученный, квалифицированный",Sie ist als Krankenschwester gut ausgebildet.,B1
die Suppe,суп,An einem kalten Abend ist eine heiße Gemüsesuppe sehr wohltuend.,A1
fließen,"течь, струиться",Das Wasser aus dem Wasserhahn fließt langsam.,B1
das Baby,"младенец, ребёнок",Das Baby schläft friedlich in seinem Bettchen.,A1
renovieren,"ремонтировать, обновлять","Sie planen, ihr altes Haus im nächsten Jahr zu renovieren.",A2
der März,март,Im März beginnt der Frühling und die Natur erwacht zu neuem Leben.,A1
der Tisch,стол,"Bitte decken Sie den Tisch für das Abendessen, bevor die Gäste kommen.",A1
die Ernte,урожай,Die Bauern hoffen auf eine gute Ernte in diesem Jahr.,A2
das Doppelzimmer,двухместный номер,Wir haben ein Doppelzimmer für die nächsten zwei Nächte gebucht.,A1
das Frühstück,завтрак,Zum Frühstück gibt es heute frische Brötchen und Marmelade.,A1
